,0,1,2,3,4,5,6,7,8,9
70,0,1,,,,,,,,
7,2,3,244.0,,,,,,,
68,4,6,184.0,210.0,221.0,,,,,
67,5,7,13.0,241.0,,,,,,
76,8,9,,,,,,,,
77,10,158,,,,,,,,
51,11,217,220.0,,,,,,,
8,12,92,242.0,243.0,,,,,,
15,14,15,16.0,,,,,,,
58,17,19,20.0,21.0,,,,,,
21,18,40,132.0,,,,,,,
14,22,23,24.0,27.0,28.0,,,,,
27,25,26,52.0,67.0,68.0,,,,,
74,29,161,180.0,,,,,,,
56,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,
57,38,39,,,,,,,,
13,41,59,155.0,211.0,212.0,,,,,
16,42,45,46.0,133.0,134.0,,,,,
42,43,44,,,,,,,,
50,47,63,64.0,130.0,,,,,,
10,48,49,50.0,51.0,,,,,,
17,53,54,55.0,,,,,,,
26,56,57,58.0,,,,,,,
11,60,61,62.0,,,,,,,
12,65,66,183.0,,,,,,,
37,69,70,71.0,,,,,,,
36,72,73,74.0,,,,,,,
2,75,81,82.0,83.0,84.0,85.0,88.0,,,
1,76,77,78.0,79.0,80.0,93.0,,,,
53,86,147,,,,,,,,
52,87,226,,,,,,,,
55,89,190,,,,,,,,
32,90,91,94.0,95.0,,,,,,
44,96,98,,,,,,,,
22,97,106,128.0,131.0,144.0,149.0,,,,
64,99,100,,,,,,,,
65,101,119,120.0,123.0,126.0,127.0,129.0,,,
18,102,103,105.0,108.0,,,,,,
63,104,107,,,,,,,,
24,109,110,,,,,,,,
62,111,112,117.0,118.0,121.0,,,,,
61,113,114,115.0,116.0,,,,,,
25,122,124,125.0,,,,,,,
23,135,136,137.0,,,,,,,
33,138,141,142.0,143.0,145.0,,,,,
43,139,140,,,,,,,,
19,146,196,231.0,,,,,,,
20,148,150,151.0,,,,,,,
9,152,153,156.0,,,,,,,
66,154,179,192.0,193.0,194.0,195.0,,,,
71,157,159,160.0,162.0,163.0,164.0,165.0,,,
69,166,167,170.0,171.0,172.0,173.0,213.0,225.0,229.0,230.0
73,168,169,,,,,,,,
72,174,175,216.0,232.0,,,,,,
39,176,235,239.0,,,,,,,
4,177,178,,,,,,,,
46,181,208,218.0,,,,,,,
45,182,219,,,,,,,,
49,185,222,,,,,,,,
75,186,191,223.0,,,,,,,
48,187,224,,,,,,,,
54,188,228,,,,,,,,
47,189,227,,,,,,,,
28,197,203,205.0,207.0,,,,,,
29,198,200,201.0,202.0,,,,,,
31,199,209,,,,,,,,
30,204,206,,,,,,,,
5,214,215,,,,,,,,
3,233,234,237.0,238.0,,,,,,
38,236,240,,,,,,,,
60,245,247,252.0,255.0,256.0,262.0,,,,
34,246,248,261.0,,,,,,,
35,249,251,258.0,260.0,264.0,,,,,
59,250,254,259.0,265.0,,,,,,
41,253,257,263.0,,,,,,,
40,266,269,,,,,,,,
6,267,268,270.0,271.0,,,,,,
