,number estimators,max features,max depth,min split,min leaf,accuracy,balanced accuracy,ROC,F1,Matthews
model 0,357.0,48.0,36.0,8.0,7.0,0.9146238945492451,0.9123849646897298,0.9123849646897297,0.904104544394591,0.8276510240963172
model 1,294.0,40.0,30.0,7.0,6.0,0.9145230169138169,0.9122608171276583,0.9122608171276583,0.9039668792069504,0.8274510198594315
model 2,200.0,28.0,21.0,5.0,5.0,0.9146911463061972,0.9122613107146358,0.9122613107146358,0.9039633959130559,0.8278238565228113
best model,200.0,28.0,21.0,5.0,5.0,0.9177362097214636,0.9153603756796966,0.9153603756796965,0.9074998080908881,0.834019606175681
